Name,Disaster,Begin_Date,Month,Day,Year,End_Date,CPI_Adjusted_Cost,Deaths
Houston Flooding (April 2016),Flooding,20160417,4,17,2016,20160418,3077.4,8
South/Southeast Tornadoes (April 2016),Severe Storm,20160426,4,26,2016,20160502,2753.8,6
Plains Tornadoes and Central Severe Weather (May 2016),Severe Storm,20160508,5,8,2016,20160511,1977.6,2
Rockies/Central Tornadoes and Severe Weather (May 2016),Severe Storm,20160521,5,21,2016,20160526,1318.3,0
West Virginia Flooding and Ohio Valley Tornadoes (June 2016),Flooding,20160622,6,22,2016,20160624,1114.1,23
Rockies and Northeast Severe Weather (July 2016),Severe Storm,20160728,7,28,2016,20160730,1685.6,0
Louisiana Flooding (August 2016),Flooding,20160812,8,12,2016,20160815,11500,13
Hurricane Matthew (October 2016),Tropical Cyclone,20161008,10,8,2016,20161012,11500,49
West/Northeast/Southeast Drought (2016),Drought,20160101,1,1,2016,20161231,3960.2,0
Western/Southeast Wildfires (Summer-Fall 2016),Wildfire,20160601,6,1,2016,20161231,2754.5,21
Southern Tornado Outbreak and Western Storms (January 2017),Severe Storm,20170120,1,20,2017,20170122,1248.8,24
California Flooding (February 2017),Flooding,20170208,2,8,2017,20170222,1695,5
Central/Southeast Tornado Outbreak (March 2017),Severe Storm,20170228,2,28,2017,20170301,2040.9,6
Midwest Tornado Outbreak (March 2017),Severe Storm,20170306,3,6,2017,20170308,2459.1,2
Southeast Freeze (March 2017),Freeze,20170314,3,14,2017,20170316,1130,0
South/Southeast Severe Weather (March 2017),Severe Storm,20170326,3,26,2017,20170328,3045.4,0
Missouri and Arkansas Flooding and Central Severe Weather (May 2017),Flooding,20170425,4,25,2017,20170507,1874.8,20
Colorado Hail Storm and Central Severe Weather (May 2017),Severe Storm,20170508,5,8,2017,20170511,3785.5,0
Minnesota Hail Storm and Upper Midwest Severe Weather (June 2017),Severe Storm,20170609,6,9,2017,20170611,2655.5,0
Midwest Severe Weather (June 2017),Severe Storm,20170612,6,12,2017,20170616,1705.3,0
Midwest Severe Weather (June 2017),Severe Storm,20170627,6,27,2017,20170629,1610.3,0
Hurricane Harvey (August 2017),Tropical Cyclone,20170825,8,25,2017,20170831,138750,89
Hurricane Irma (September 2017),Tropical Cyclone,20170906,9,6,2017,20170912,55500,97
Hurricane Maria (September 2017),Tropical Cyclone,20170919,9,19,2017,20170921,99900,2981
"North Dakota, South Dakota and Montana Drought (Spring-Fall 2017)",Drought,20170301,3,1,2017,20171231,2775,0
"Western Wildfires, California Firestorm (Summer-Fall 2017)",Wildfire,20170601,6,1,2017,20171231,19985.6,54
Central and Eastern Winter Storm (January 2018),Winter Storm,20180103,1,3,2018,20180105,1147.3,22
Northeast Winter Storm (March 2018),Winter Storm,20180301,3,1,2018,20180303,2413.4,9
Southeastern Tornadoes and Severe Weather (March 2018),Severe Storm,20180318,3,18,2018,20180321,1597.2,0
Southern and Eastern Tornadoes and Severe Weather (April 2018),Severe Storm,20180413,4,13,2018,20180416,1436.9,3
Central and Northeastern Severe Weather (May 2018),Severe Storm,20180501,5,1,2018,20180504,1529,0
Central and Eastern Severe Weather (May 2018),Severe Storm,20180513,5,13,2018,20180515,1493.3,5
